
2023/09/12 (11:28:58) | INFO: Logger set to DEBUG
2023/09/12 (11:28:58) | DEBUG: Using locale en_PH.UTF-8
2023/09/12 (11:28:58) | INFO: Running on /dev/pts/0
2023/09/12 (11:28:58) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme
2023/09/12 (11:29:05) | INFO: Quitting! Runtime: 00:00:07

2023/09/16 (13:41:09) | ===> btop++ v.1.2.13
2023/09/16 (13:41:09) | INFO: Logger set to DEBUG
2023/09/16 (13:41:09) | DEBUG: Using locale en_US.UTF-8
2023/09/16 (13:41:09) | INFO: Running on /dev/pts/0
2023/09/16 (13:41:09) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/16 (14:37:04) | ===> btop++ v.1.2.13
2023/09/16 (14:37:04) | INFO: Logger set to DEBUG
2023/09/16 (14:37:04) | DEBUG: Using locale en_US.UTF-8
2023/09/16 (14:37:04) | INFO: Running on /dev/pts/1
2023/09/16 (14:37:04) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/18 (15:00:16) | ===> btop++ v.1.2.13
2023/09/18 (15:00:16) | INFO: Logger set to DEBUG
2023/09/18 (15:00:16) | DEBUG: Using locale en_US.UTF-8
2023/09/18 (15:00:16) | INFO: Running on /dev/pts/0
2023/09/18 (15:00:16) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/18 (15:03:00) | ===> btop++ v.1.2.13
2023/09/18 (15:03:00) | INFO: Logger set to DEBUG
2023/09/18 (15:03:00) | DEBUG: Using locale en_US.UTF-8
2023/09/18 (15:03:00) | INFO: Running on /dev/pts/0
2023/09/18 (15:03:00) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/18 (19:18:28) | ===> btop++ v.1.2.13
2023/09/18 (19:18:28) | INFO: Logger set to DEBUG
2023/09/18 (19:18:28) | DEBUG: Using locale en_US.UTF-8
2023/09/18 (19:18:28) | INFO: Running on /dev/pts/0
2023/09/18 (19:18:28) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/18 (21:39:50) | ===> btop++ v.1.2.13
2023/09/18 (21:39:50) | INFO: Logger set to DEBUG
2023/09/18 (21:39:50) | DEBUG: Using locale en_US.UTF-8
2023/09/18 (21:39:50) | INFO: Running on /dev/pts/0
2023/09/18 (21:39:50) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/19 (19:28:17) | ===> btop++ v.1.2.13
2023/09/19 (19:28:17) | INFO: Logger set to DEBUG
2023/09/19 (19:28:17) | DEBUG: Using locale en_US.UTF-8
2023/09/19 (19:28:17) | INFO: Running on /dev/pts/0
2023/09/19 (19:28:17) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/21 (18:46:35) | ===> btop++ v.1.2.13
2023/09/21 (18:46:35) | INFO: Logger set to DEBUG
2023/09/21 (18:46:35) | DEBUG: Using locale en_PH.UTF-8
2023/09/21 (18:46:35) | INFO: Running on /dev/pts/0
2023/09/21 (18:46:35) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/21 (23:38:45) | ===> btop++ v.1.2.13
2023/09/21 (23:38:45) | INFO: Logger set to DEBUG
2023/09/21 (23:38:45) | DEBUG: Using locale en_PH.UTF-8
2023/09/21 (23:38:45) | INFO: Running on /dev/pts/0
2023/09/21 (23:38:45) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme
